epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,41015.6,1.44387,1.41806,1.5179,0.67816,0.41137,0.50319,0.29244,1.47138,1.40223,1.51566,0.000828443,0.000828443,0.000828443
43,41976.6,1.4393,1.4049,1.51228,0.70899,0.38784,0.49648,0.29062,1.4731,1.41299,1.51542,0.000820525,0.000820525,0.000820525
44,42938.8,1.43584,1.3909,1.50811,0.70991,0.3869,0.48276,0.28633,1.47249,1.41879,1.51423,0.000812468,0.000812468,0.000812468
45,43901.3,1.4265,1.38227,1.50059,0.70775,0.38992,0.4858,0.29662,1.47145,1.4177,1.51382,0.000804277,0.000804277,0.000804277
46,44863.6,1.42028,1.38235,1.49969,0.70309,0.38964,0.49476,0.30527,1.46953,1.40964,1.51306,0.000795954,0.000795954,0.000795954
47,45825,1.41918,1.36927,1.49755,0.69042,0.39327,0.49331,0.30938,1.46672,1.39359,1.51187,0.000787503,0.000787503,0.000787503
48,46787.9,1.42031,1.3655,1.49384,0.68968,0.39239,0.49317,0.31833,1.46238,1.37822,1.51062,0.000778929,0.000778929,0.000778929
49,47750.1,1.41178,1.35551,1.48711,0.57748,0.38709,0.43076,0.26136,1.45858,1.35862,1.50993,0.000770234,0.000770234,0.000770234
50,48710.4,1.40868,1.352,1.4856,0.57942,0.38435,0.43257,0.2624,1.45366,1.33952,1.50805,0.000761423,0.000761423,0.000761423
51,49673.2,1.40447,1.34379,1.48241,0.57284,0.38663,0.43394,0.26326,1.45104,1.31818,1.50762,0.0007525,0.0007525,0.0007525
52,50635.4,1.39656,1.32884,1.47768,0.58081,0.38481,0.43656,0.26434,1.44847,1.30456,1.507,0.000743468,0.000743468,0.000743468
53,51597.4,1.39456,1.32465,1.47586,0.57349,0.39301,0.43844,0.26555,1.44539,1.28893,1.50584,0.000734332,0.000734332,0.000734332
54,52559.4,1.38904,1.31798,1.46891,0.57181,0.39717,0.47087,0.29153,1.44393,1.27559,1.50564,0.000725094,0.000725094,0.000725094
55,53521.1,1.3804,1.30569,1.46446,0.57211,0.40137,0.47351,0.29272,1.44186,1.26237,1.50501,0.000715761,0.000715761,0.000715761
56,54484.4,1.377,1.2971,1.46093,0.57591,0.39847,0.47596,0.29413,1.43952,1.25304,1.50439,0.000706335,0.000706335,0.000706335
57,55446.1,1.37626,1.28894,1.46156,0.5759,0.39717,0.47625,0.30128,1.43793,1.24524,1.5033,0.00069682,0.00069682,0.00069682
58,56407.4,1.36809,1.28036,1.45471,0.5748,0.40086,0.47934,0.30302,1.4371,1.23753,1.50299,0.000687222,0.000687222,0.000687222
59,57369.3,1.37045,1.27406,1.4512,0.57075,0.40307,0.4803,0.30361,1.43533,1.22803,1.50236,0.000677543,0.000677543,0.000677543
60,58331.2,1.36412,1.26868,1.45006,0.56599,0.40917,0.48248,0.30509,1.43468,1.2234,1.50194,0.000667789,0.000667789,0.000667789
61,59293.1,1.35868,1.2611,1.44881,0.5639,0.41075,0.48406,0.30612,1.43356,1.21807,1.50105,0.000657963,0.000657963,0.000657963
