epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18951.7,1.46826,1.41056,1.44594,0.53935,0.53953,0.50665,0.29083,1.42344,1.23733,1.42609,0.000828443,0.000828443,0.000828443
43,19402.1,1.45842,1.40123,1.44015,0.54,0.54219,0.52138,0.30132,1.42236,1.23399,1.42491,0.000820525,0.000820525,0.000820525
44,19853.3,1.45764,1.38902,1.43422,0.55278,0.53326,0.52462,0.3042,1.42119,1.2318,1.42351,0.000812468,0.000812468,0.000812468
45,20302.9,1.45345,1.3846,1.43905,0.556,0.53016,0.52671,0.30503,1.4207,1.22826,1.42312,0.000804277,0.000804277,0.000804277
46,20753.4,1.45558,1.37783,1.43396,0.55456,0.53118,0.51995,0.29877,1.42038,1.22399,1.4224,0.000795954,0.000795954,0.000795954
47,21204.6,1.44791,1.36591,1.42915,0.55344,0.53204,0.52194,0.3,1.42001,1.22014,1.42224,0.000787503,0.000787503,0.000787503
48,21654.8,1.44016,1.35417,1.42116,0.56238,0.53363,0.52668,0.30205,1.41921,1.21573,1.42133,0.000778929,0.000778929,0.000778929
49,22105,1.44018,1.35462,1.42524,0.57388,0.52641,0.52727,0.30379,1.41842,1.21193,1.42039,0.000770234,0.000770234,0.000770234
50,22555.2,1.43897,1.34041,1.4224,0.5833,0.5247,0.54189,0.31477,1.41784,1.20735,1.41954,0.000761423,0.000761423,0.000761423
51,23005.1,1.43031,1.33674,1.41642,0.58656,0.52688,0.54498,0.3174,1.41768,1.20243,1.41909,0.0007525,0.0007525,0.0007525
52,23455.7,1.42644,1.32868,1.41548,0.60111,0.51908,0.57874,0.34383,1.41783,1.19858,1.41863,0.000743468,0.000743468,0.000743468
53,23906.7,1.42506,1.31718,1.41318,0.59488,0.52289,0.58304,0.34604,1.41772,1.19395,1.41818,0.000734332,0.000734332,0.000734332
54,24356.4,1.42146,1.31028,1.40788,0.58691,0.52818,0.58533,0.3469,1.41833,1.1898,1.41815,0.000725094,0.000725094,0.000725094
55,24806.2,1.41447,1.30098,1.40249,0.58359,0.53177,0.58745,0.34941,1.41834,1.18597,1.41784,0.000715761,0.000715761,0.000715761
56,25255.8,1.40133,1.28441,1.39495,0.59504,0.53161,0.58928,0.35092,1.41912,1.18121,1.41781,0.000706335,0.000706335,0.000706335
57,25706.3,1.40567,1.28357,1.39604,0.58054,0.53708,0.59189,0.3522,1.41944,1.17733,1.4177,0.00069682,0.00069682,0.00069682
58,26156.7,1.40164,1.2774,1.39165,0.58796,0.53656,0.59189,0.35353,1.41992,1.17346,1.41781,0.000687222,0.000687222,0.000687222
59,26607.2,1.39644,1.27293,1.39035,0.59105,0.53582,0.59728,0.36356,1.42009,1.16973,1.41756,0.000677543,0.000677543,0.000677543
60,27056.9,1.39262,1.25957,1.38636,0.59547,0.53741,0.60027,0.36466,1.42024,1.16574,1.41724,0.000667789,0.000667789,0.000667789
61,27507.3,1.38659,1.25194,1.38508,0.60014,0.54261,0.60353,0.36531,1.41989,1.16127,1.41707,0.000657963,0.000657963,0.000657963
62,27957.9,1.38242,1.23599,1.37754,0.61624,0.5365,0.60507,0.35894,1.4203,1.15706,1.41723,0.000648071,0.000648071,0.000648071
63,28408,1.37965,1.24387,1.38206,0.62012,0.53441,0.60684,0.36023,1.42127,1.15361,1.41823,0.000638115,0.000638115,0.000638115
64,28858.2,1.37414,1.23121,1.37806,0.62953,0.53493,0.60874,0.36156,1.42159,1.14985,1.41872,0.000628101,0.000628101,0.000628101
65,29308.1,1.36747,1.22194,1.36946,0.62541,0.5419,0.61063,0.36256,1.42308,1.14648,1.41999,0.000618034,0.000618034,0.000618034
66,29757.8,1.36188,1.20932,1.3664,0.63492,0.5452,0.61356,0.36358,1.42406,1.14295,1.42058,0.000607916,0.000607916,0.000607916
67,30208.6,1.36821,1.21054,1.36909,0.63391,0.54934,0.61598,0.3646,1.4248,1.14001,1.42128,0.000597754,0.000597754,0.000597754
68,30658.5,1.35624,1.19751,1.36576,0.65148,0.54486,0.61599,0.36602,1.42509,1.13702,1.42212,0.000587551,0.000587551,0.000587551
69,31110.2,1.35118,1.19656,1.36147,0.67765,0.53953,0.61944,0.36738,1.42592,1.13397,1.42287,0.000577311,0.000577311,0.000577311
70,31560.4,1.34462,1.18231,1.35627,0.67658,0.54037,0.62122,0.36871,1.42655,1.13068,1.42367,0.00056704,0.00056704,0.00056704
71,32010.8,1.34459,1.1829,1.35521,0.6949,0.53828,0.62477,0.37158,1.42752,1.12789,1.42457,0.000556742,0.000556742,0.000556742
72,32459.8,1.34082,1.17391,1.35296,0.70185,0.54076,0.6266,0.37266,1.42824,1.12526,1.42502,0.000546421,0.000546421,0.000546421
73,32910.5,1.33772,1.16633,1.34748,0.71292,0.54098,0.63017,0.37436,1.42962,1.12233,1.4259,0.000536081,0.000536081,0.000536081
74,33361.2,1.33117,1.16046,1.34453,0.71494,0.54529,0.63279,0.37548,1.43071,1.1203,1.42652,0.000525728,0.000525728,0.000525728
75,33810.6,1.32618,1.15364,1.34448,0.71809,0.54886,0.63407,0.37534,1.4314,1.11855,1.42682,0.000515366,0.000515366,0.000515366
76,34262.7,1.32614,1.14925,1.3434,0.72586,0.54908,0.6356,0.38253,1.43228,1.11787,1.4274,0.000505,0.000505,0.000505
77,34712.6,1.31806,1.14388,1.33633,0.72507,0.55075,0.63793,0.38484,1.43325,1.11684,1.4283,0.000494634,0.000494634,0.000494634
78,35162.6,1.31665,1.14059,1.33623,0.72805,0.5516,0.63871,0.38531,1.43441,1.11502,1.42932,0.000484272,0.000484272,0.000484272
79,35612.6,1.31558,1.13728,1.33338,0.73323,0.55063,0.63955,0.38639,1.43504,1.11364,1.43019,0.000473919,0.000473919,0.000473919
80,36069.1,1.31013,1.1241,1.32853,0.7268,0.55476,0.64066,0.38018,1.43666,1.11304,1.43167,0.000463579,0.000463579,0.000463579
81,36519,1.30512,1.1224,1.32621,0.73212,0.55252,0.64146,0.38204,1.43837,1.11153,1.43291,0.000453258,0.000453258,0.000453258
82,36970,1.30171,1.11592,1.32235,0.72748,0.55118,0.6407,0.38237,1.43915,1.1108,1.43409,0.00044296,0.00044296,0.00044296
83,37420.5,1.29811,1.11358,1.32266,0.71489,0.5583,0.64255,0.38311,1.44014,1.11043,1.43542,0.000432689,0.000432689,0.000432689
84,37875.2,1.29644,1.10549,1.31861,0.72489,0.55472,0.64324,0.39057,1.44131,1.11042,1.43681,0.000422449,0.000422449,0.000422449
85,38354.2,1.28855,1.10011,1.3119,0.72196,0.55729,0.64412,0.39105,1.44276,1.11042,1.43861,0.000412246,0.000412246,0.000412246
86,38833,1.28937,1.09935,1.3164,0.71013,0.56063,0.64536,0.39185,1.44438,1.10998,1.44103,0.000402084,0.000402084,0.000402084
87,39311.2,1.27991,1.08787,1.31165,0.71529,0.55917,0.645,0.39154,1.4455,1.10995,1.44261,0.000391966,0.000391966,0.000391966
88,39790.4,1.27432,1.0787,1.30368,0.72157,0.56082,0.64735,0.39158,1.44655,1.10901,1.44383,0.000381899,0.000381899,0.000381899
89,40269.1,1.27486,1.07574,1.30431,0.71721,0.56266,0.648,0.39221,1.44705,1.1083,1.44473,0.000371885,0.000371885,0.000371885
90,40747.9,1.27107,1.06924,1.30169,0.72572,0.55929,0.64885,0.39201,1.44837,1.10766,1.44617,0.000361929,0.000361929,0.000361929
91,41225.7,1.26571,1.06347,1.29778,0.72659,0.56407,0.64957,0.39309,1.44988,1.10678,1.44792,0.000352037,0.000352037,0.000352037
92,41704.5,1.26208,1.05895,1.29908,0.73229,0.56457,0.65002,0.39342,1.45132,1.10588,1.44989,0.000342211,0.000342211,0.000342211
